date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:08:48	21376/21376	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2005:08:43%20GMT	https://alpha1-10be6.web.app/robots.txt		(from )
08:08:50	6407/6407	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/index.html	(from )
08:08:56	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2005:08:51%20GMT	https://fonts.googleapis.com/	C:/Users/igame/alpha1/AlphaNULL/fonts.googleapis.com/index.html	(from https://alpha1-10be6.web.app/)
08:08:56	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2005:08:51%20GMT	https://fonts.gstatic.com/	C:/Users/igame/alpha1/AlphaNULL/fonts.gstatic.com/index.html	(from https://alpha1-10be6.web.app/)
08:08:57	916/916	---MC-	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202026%2005:08:53%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap	C:/Users/igame/alpha1/AlphaNULL/fonts.googleapis.com/css2fb67.css	(from https://alpha1-10be6.web.app/)
08:08:58	2907/2907	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/css/variables.css	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/css/variables.css	(from https://alpha1-10be6.web.app/)
08:08:58	4427/4427	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/css/base.css	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/css/base.css	(from https://alpha1-10be6.web.app/)
08:08:58	6641/6641	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/css/components.css	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/css/components.css	(from https://alpha1-10be6.web.app/)
08:09:00	4758/4758	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/css/login.css	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/css/login.css	(from https://alpha1-10be6.web.app/)
08:09:00	31444/31444	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2016:26:53%20GMT	https://www.gstatic.com/firebasejs/10.12.0/firebase-app-compat.js	C:/Users/igame/alpha1/AlphaNULL/www.gstatic.com/firebasejs/10.12.0/firebase-app-compat.js	(from https://alpha1-10be6.web.app/)
08:09:02	937/937	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/js/firebase-config.js	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/js/firebase-config.js	(from https://alpha1-10be6.web.app/)
08:09:02	2671/2671	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/js/auth.js	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/js/auth.js	(from https://alpha1-10be6.web.app/)
08:09:03	40094/40094	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/dashboard.html	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/dashboard.html	(from https://alpha1-10be6.web.app/)
08:09:03	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2009%20Aug%202026%2005:08:59%20GMT	https://fonts.googleapis.com/robots.txt		(from https://alpha1-10be6.web.app/)
08:09:03	341173/341173	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2016:26:57%20GMT	https://www.gstatic.com/firebasejs/10.12.0/firebase-firestore-compat.js	C:/Users/igame/alpha1/AlphaNULL/www.gstatic.com/firebasejs/10.12.0/firebase-firestore-compat.js	(from https://alpha1-10be6.web.app/)
08:09:04	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2005:08:59%20GMT	https://fonts.gstatic.com/robots.txt		(from https://alpha1-10be6.web.app/)
08:09:05	324820/324820	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:41:51%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuLyfMZg.ttf	C:/Users/igame/alpha1/AlphaNULL/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuLyfMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap)
08:09:05	325304/325304	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:41:52%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuI6fMZg.ttf	C:/Users/igame/alpha1/AlphaNULL/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuI6fMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap)
08:09:05	326048/326048	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:36:01%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuGKYMZg.ttf	C:/Users/igame/alpha1/AlphaNULL/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuGKYMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap)
08:09:06	326468/326468	---M-Z	200	added ('OK')	font/ttf	date:Tue,%2009%20Sep%202025%2018:36:02%20GMT	https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuFuYMZg.ttf	C:/Users/igame/alpha1/AlphaNULL/fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuFuYMZg.ttf	(from https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap)
08:09:06	1398/1398	---MC-	200	added ('OK')	text/css	date:Sun,%2009%20Aug%202026%2005:09:02%20GMT	https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;700&display=swap	C:/Users/igame/alpha1/AlphaNULL/fonts.googleapis.com/css25fc8.css	(from https://alpha1-10be6.web.app/dashboard.html)
08:09:06	17558/17558	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/css/dashboard.css	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/css/dashboard.css	(from https://alpha1-10be6.web.app/dashboard.html)
08:09:06	8174/8174	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/css/ai-chat.css	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/css/ai-chat.css	(from https://alpha1-10be6.web.app/dashboard.html)
08:09:07	12959/12959	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/css/alpha-eon.css	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/css/alpha-eon.css	(from https://alpha1-10be6.web.app/dashboard.html)
08:09:07	52823/52823	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Jun%202026%2013:58:12%20GMT	https://alpha1-10be6.web.app/alpha1-viz.html	C:/Users/igame/alpha1/AlphaNULL/alpha1-10be6.web.app/alpha1-viz.html	(from https://alpha1-10be6.web.app/dashboard.html)
